date,close,volume,open,high,low
'2016/12/12',92.4700,9347017.0000,92.0500,92.8900,91.7000
'2016/12/09',93.2800,9162923.0000,92.5100,93.6400,92.2800
'2016/12/08',92.3100,10907560.0000,91.8000,93.0800,91.0300
'2016/12/07',91.0700,13218170.0000,90.5200,91.6500,89.5000
'2016/12/06',90.4000,7772578.0000,91.5600,91.9300,89.9600
'2016/12/05',90.9900,8862879.0000,90.0500,91.4000,89.5700
'2016/12/02',90.4800,11711150.0000,90.3800,91.7400,89.9500
'2016/12/01',89.8600,24008200.0000,94.0000,94.0550,89.1800
'2016/11/30',94.0200,11415540.0000,95.2800,95.4800,93.3000
'2016/11/29',94.9900,14128660.0000,93.6700,96.0550,93.3900
'2016/11/28',93.7600,14287080.0000,93.0200,95.7411,93.0000
'2016/11/25',93.0100,4868511.0000,93.5500,93.7500,92.7700
'2016/11/23',93.0300,11736610.0000,92.5300,93.4000,91.4500
'2016/11/22',93.2100,10396530.0000,94.2400,94.4200,93.1600
'2016/11/21',93.4100,8926920.0000,94.0500,94.6600,93.0000
'2016/11/18',93.3900,9729471.0000,94.8500,95.3000,92.6700
'2016/11/17',94.0700,10375260.0000,94.7100,94.9800,93.6400
'2016/11/16',92.8600,13047920.0000,91.3900,93.6800,91.3300
'2016/11/15',91.0000,16700650.0000,91.0000,93.4900,90.7500
'2016/11/14',89.7700,27341470.0000,92.4510,92.5400,87.8800
'2016/11/11',92.9900,23694700.0000,93.8600,94.0900,91.1000
'2016/11/10',94.3400,27298660.0000,98.3400,98.5000,92.2200
'2016/11/09',96.6700,20912660.0000,97.3800,98.5800,95.8000
'2016/11/08',99.8500,8065331.0000,99.3900,99.9900,98.3600
'2016/11/07',99.3500,11184020.0000,100.0700,100.6200,99.1600
'2016/11/04',97.5700,9038406.0000,96.9000,98.7900,96.6700
'2016/11/03',97.7500,15580000.0000,98.0400,99.3000,96.4600
'2016/11/02',98.5100,36965870.0000,103.8500,104.1000,97.3000
'2016/11/01',101.1500,21226050.0000,100.4300,101.2400,99.2100
'2016/10/31',101.6900,15833790.0000,102.6500,103.2100,101.4200
'2016/10/28',101.9300,8352163.0000,102.3500,103.0500,101.5500
'2016/10/27',102.3800,8793405.0000,103.3800,104.1100,101.8500
'2016/10/26',102.7800,7570229.0000,103.6800,104.0000,102.7000
'2016/10/25',104.2200,8961856.0000,104.8600,105.2002,104.0200
'2016/10/24',104.5000,10878840.0000,104.9800,105.3000,103.5500
'2016/10/21',103.9400,7356226.0000,103.7000,103.9400,102.7500
'2016/10/20',103.8500,7087015.0000,104.2000,104.7400,103.5700
'2016/10/19',103.9300,8931290.0000,104.3300,104.8000,103.6500
'2016/10/18',103.3400,11082800.0000,104.4700,104.9900,103.3100
'2016/10/17',102.8400,10349520.0000,101.5000,103.4700,101.2700
'2016/10/14',101.8500,12779630.0000,104.2700,104.7000,101.0300
'2016/10/13',102.1500,22377940.0000,102.0600,102.5500,99.0000
'2016/10/12',103.6200,17735580.0000,105.0500,105.1100,101.8200
'2016/10/11',105.2300,14676610.0000,107.8900,107.9700,104.7500
'2016/10/10',108.4100,11505440.0000,106.7900,109.0000,106.5600
'2016/10/07',106.0000,8948099.0000,106.8900,107.5500,105.5600
'2016/10/06',107.0800,9879871.0000,107.3000,107.5100,106.1850
'2016/10/05',106.9600,13154000.0000,105.8700,107.4500,105.6600
'2016/10/04',105.4500,11065380.0000,105.9300,106.2300,105.0500
'2016/10/03',105.3800,10842050.0000,105.4500,106.2900,104.9800
'2016/09/30',105.7900,15566160.0000,106.5000,107.1000,105.7900
'2016/09/29',105.5500,30216610.0000,106.5100,106.6900,104.5700
'2016/09/28',108.7500,16287430.0000,108.4400,109.8700,107.1600
'2016/09/27',108.2600,17497870.0000,106.5200,108.4900,106.3700
'2016/09/26',105.8900,16792750.0000,106.5200,107.0600,105.3000
'2016/09/23',107.7100,23078980.0000,108.2500,108.4000,106.7100
